Rk,Season,Conf,W,L,WLPercent,W2,L2,WL2Percent,SRS,SOS,PTS,PTS2,AP_Pre,AP_High,AP_Final,NCAA_Tour,Seed,Coaching,Team,SrNames,TeamID,schoolid,yearid,id,Team,G,MP,FG,FGA,FG_Percent,TwoP,TwoPA,TwoP_Percent,ThreeP,ThreePA,ThreeP_Percent,FT,FTA,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTSperG,Team_ID,Dates
6,2014,AEC,24,9,1,15,1,1,0,-5,65,61,NULL,NULL,NULL,Lost Second Round,14,Will Brown (24-9),albany-ny,albany-ny,1107,1107,2014,1000671,albany-ny,34,6876,765,1733,0,602,1280,0,163,453,0,546,728,1,343,832,1175,376,184,101,428,580,2239,66,1107,2014
5,2015,AEC,24,9,1,13,3,1,1,-8,76,66,NULL,NULL,NULL,NULL,NULL,Will Brown (24-9),albany-ny,albany-ny,1107,1107,2015,1000851,albany-ny,33,6624,729,1666,0,524,1094,0,205,572,0,493,650,1,334,777,1111,349,187,53,381,544,2156,65,1107,2015
5,2015,AEC,24,9,1,13,3,1,1,-8,76,66,NULL,NULL,NULL,NULL,NULL,Will Brown (24-9),albany-ny,albany-ny,1107,1107,2015,1000851,albany-ny,33,6624,729,1666,0,524,1094,0,205,572,0,493,650,1,334,777,1111,349,187,53,381,544,2156,65,1107,2015
4,2016,AEC,21,14,1,10,6,1,0,-5,71,66,NULL,NULL,NULL,NULL,NULL,Will Brown (21-14),albany-ny,albany-ny,1107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,2017,AEC,22,10,1,10,6,1,0,-5,74,68,NULL,NULL,NULL,NULL,NULL,Will Brown (22-10),albany-ny,albany-ny,1107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2018,AEC,12,20,0,7,9,0,-9,-7,67,69,NULL,NULL,NULL,NULL,NULL,Will Brown (12-20),albany-ny,albany-ny,1107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2019,AEC,14,14,1,7,6,1,-8,-7,67,68,NULL,NULL,NULL,NULL,NULL,Will Brown (14-14),albany-ny,albany-ny,1107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,2008,Patriot,24,8,1,13,1,1,0,-5,65,59,NULL,NULL,NULL,Lost First Round,14,Jeff Jones (24-8),american,american,1110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,2009,Patriot,11,20,0,7,7,1,-11,-7,63,67,NULL,NULL,NULL,NULL,NULL,Jeff Jones (11-20),american,american,1110,1110,2009,1000029,american,32,6450,751,1614,0,521,999,1,230,615,0,333,514,1,302,744,1046,421,176,79,422,581,2065,65,1110,2009
11,2009,Patriot,11,20,0,7,7,1,-11,-7,63,67,NULL,NULL,NULL,NULL,NULL,Jeff Jones (11-20),american,american,1110,1110,2009,1000029,american,32,6450,751,1614,0,521,999,1,230,615,0,333,514,1,302,744,1046,421,176,79,422,581,2065,65,1110,2009
