Team,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G,Team_ID,Date
minnesota,35.0,7075.0,912,1949,.468,666,1332,.500,246,617,.399,463,661,.700,375,862,1237,583,273,199,427,579,2533,72.4,1278,2010.0
clemson,34.0,6850.0,810,1827,.443,593,1197,.495,217,630,.344,493,703,.701,384,793,1177,445,272,161,449,624,2330,68.5,1155,2011.0
north-carolina-asheville,34.0,6951.0,881,1950,.452,713,1435,.497,168,515,.326,576,810,.711,400,813,1213,492,310,152,506,664,2506,73.7,1421,2011.0
texas-san-antonio,34.0,6800.0,802,1871,.429,568,1204,.472,234,667,.351,546,774,.705,362,824,1186,430,240,76,461,657,2384,70.1,1427,2011.0
virginia-commonwealth,40.0,8100.0,968,2228,.434,629,1311,.480,339,917,.370,589,824,.715,428,864,1292,583,328,140,452,735,2864,71.6,1433,2011.0
butler,38.0,7700.0,919,2122,.433,630,1300,.485,289,822,.352,580,799,.726,431,906,1337,452,226,61,416,718,2707,71.2,1139,2011.0
brigham-young,37.0,7475.0,1019,2267,.449,707,1402,.504,312,865,.361,662,865,.765,420,1005,1425,538,298,150,404,647,3012,81.4,1140,2011.0
cincinnati,35.0,7025.0,848,1939,.437,628,1288,.488,220,651,.338,496,742,.668,454,783,1237,497,258,129,401,605,2412,68.9,1153,2011.0
connecticut,41.0,8350.0,1053,2429,.434,819,1718,.477,234,711,.329,627,822,.763,570,1056,1626,534,259,228,466,646,2967,72.4,1163,2011.0
florida,37.0,7575.0,968,2083,.465,735,1422,.517,233,661,.352,498,744,.669,467,917,1384,521,221,131,452,545,2667,72.1,1196,2011.0
gonzaga,35.0,7050.0,932,1947,.479,729,1399,.521,203,548,.370,617,810,.762,398,916,1314,542,254,132,474,649,2684,76.7,1211,2011.0
kansas-state,34.0,6800.0,849,1939,.438,612,1308,.468,237,631,.376,542,828,.655,490,790,1280,474,208,154,498,692,2477,72.9,1243,2011.0
kentucky,38.0,7625.0,1002,2183,.459,721,1476,.488,281,707,.397,560,789,.710,445,975,1420,482,211,239,406,601,2845,74.9,1246,2011.0
morehead-state,35.0,7069.0,851,1874,.454,647,1273,.508,204,601,.339,506,751,.674,484,827,1311,424,300,110,525,653,2412,68.9,1287,2011.0
pittsburgh,34.0,6825.0,886,1866,.475,684,1354,.505,202,512,.395,540,805,.671,484,875,1359,595,160,111,397,610,2514,73.9,1338,2011.0
richmond,37.0,7450.0,922,2007,.459,635,1272,.499,287,735,.390,446,649,.687,344,878,1222,548,220,155,383,587,2577,69.6,1350,2011.0
san-diego-state,37.0,7450.0,991,2141,.463,768,1502,.511,223,639,.349,455,653,.697,472,924,1396,499,227,170,402,542,2660,71.9,1361,2011.0
temple,34.0,6875.0,868,1943,.447,662,1360,.487,206,583,.353,458,656,.698,374,844,1218,511,231,156,368,538,2400,70.6,1396,2011.0
ucla,34.0,6876.0,830,1824,.455,657,1295,.507,173,529,.327,549,808,.679,405,860,1265,493,186,198,502,594,2382,70.1,1417,2011.0
west-virginia,33.0,6600.0,783,1826,.429,577,1215,.475,206,611,.337,531,747,.711,469,758,1227,491,154,136,397,598,2303,69.8,1452,2011.0
wisconsin,34.0,6849.0,798,1808,.441,520,1064,.489,278,744,.374,436,533,.818,355,733,1088,442,121,105,258,522,2310,67.9,1458,2011.0
arizona,38.0,7700.0,969,2064,.469,673,1319,.510,296,745,.397,671,899,.746,408,911,1319,536,197,98,484,707,2905,76.4,1112,2011.0
duke,37.0,7400.0,1040,2206,.471,749,1428,.525,291,778,.374,622,826,.753,446,953,1399,529,269,162,447,657,2993,80.9,1181,2011.0
florida-state,34.0,6825.0,827,1903,.435,615,1269,.485,212,634,.334,482,725,.665,422,910,1332,423,288,203,541,651,2348,69.1,1199,2011.0
george-mason,34.0,6875.0,876,1861,.471,649,1287,.504,227,574,.395,495,718,.689,364,824,1188,483,224,110,376,581,2474,72.8,1206,2011.0
illinois,34.0,6825.0,894,1910,.468,662,1310,.505,232,600,.387,393,539,.729,342,836,1178,568,188,152,434,597,2413,71.0,1228,2011.0
kansas,38.0,7625.0,1114,2193,.508,843,1483,.568,271,710,.382,585,862,.679,449,1026,1475,674,295,153,507,666,3084,81.2,1242,2011.0
