team_id,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,W-L%,SRS,SOS,opp_PPG,Seed
100121,859,1924,0.446,617,1288,0.479,242,636,0.381,494,668,0.74,420.0,764.0,1184,444,281,91,420.0,706.0,74.4,.788,15.54,5.48,64.3,4
100122,910,1842,0.494,693,1295,0.535,217,547,0.397,613,865,0.7090000000000001,373.0,785.0,1158,608,267,77,489.0,716.0,82.8,.688,5.94,0.24,75.3,13
100123,756,1713,0.441,591,1207,0.49,165,506,0.326,458,696,0.6579999999999999,386.0,789.0,1175,410,260,93,510.0,502.0,68.9,.710,-8.86,-13.61,63.9,16
100124,912,1896,0.48100000000000004,753,1481,0.508,159,415,0.38299999999999995,566,822,0.6890000000000001,378.0,861.0,1239,481,259,183,557.0,717.0,77.2,.667,0.25,-4.09,72.0,14
100125,540,1203,0.449,322,584,0.551,218,619,0.35200000000000004,264,363,0.727,174.0,518.0,692,383,180,61,340.0,456.0,57.9,.593,-2.53,-1.88,58.1,15
100126,706,1653,0.42700000000000005,528,1066,0.495,178,587,0.303,540,768,0.703,391.0,642.0,1033,398,208,115,415.0,551.0,73.4,.724,12.14,4.59,65.9,11
100127,806,1809,0.446,557,1187,0.469,249,622,0.4,498,693,0.7190000000000001,391.0,738.0,1129,506,286,172,467.0,644.0,76.1,.677,13.74,5.44,66.1,10
100128,797,1703,0.46799999999999997,620,1196,0.518,177,507,0.349,483,666,0.725,335.0,664.0,999,557,183,74,516.0,605.0,72.7,.548,6.89,7.25,73.1,12
100129,819,1990,0.41200000000000003,604,1364,0.44299999999999995,215,626,0.34299999999999997,543,835,0.65,483.0,863.0,1346,414,268,191,502.0,771.0,70.5,.735,14.25,8.89,65.0,6
100130,853,2044,0.41700000000000004,603,1322,0.456,250,722,0.34600000000000003,561,754,0.7440000000000001,402.0,959.0,1361,465,199,149,550.0,,69.9,.472,-2.74,-3.71,68.9,16
100131,910,2071,0.439,693,1368,0.507,217,703,0.309,621,844,0.736,509.0,860.0,1369,460,257,113,490.0,,75.9,.771,16.93,7.67,66.7,2
